"artist","song","earliest","highestRank","year"
"Becky G + Natti Natasha","Sin Pijama",2018-06-16,"
70
",2018
"Becky G Featuring Bad Bunny","Mayores",2017-11-04,"
100
",2017
"benny blanco & Juice WRLD Featuring Brendon Urie","Roses",2019-01-12,"
85
",2019
"benny blanco, Halsey & Khalid","Eastside",2018-07-28,"
10
",2018
"benny blanco, Tainy, Selena Gomez & J Balvin","I Can't Get Enough",2019-03-16,"
66
",2019
"Bhad Bhabie","Hi Bich",2017-10-21,"
68
",2017
"Bhad Bhabie","These Heaux",2017-09-23,"
77
",2017
"Bhad Bhabie Featuring Lil Yachty","Gucci Flip Flops",2018-05-19,"
79
",2018
"Big Sean","Bounce Back",2017-01-07,"
10
",2017
"Big Sean","Halfway Off The Balcony",2017-02-25,"
74
",2017
"Big Sean","Jump Out The Window",2017-02-25,"
76
",2017
"Big Sean","Moves",2017-01-14,"
38
",2017
"Big Sean","Owe Me",2017-02-25,"
86
",2017
"Big Sean & Metro Boomin Featuring 21 Savage","Pull Up N Wreck",2017-11-25,"
80
",2017
"Big Sean & Metro Boomin Featuring Travis Scott","Go Legend",2017-12-30,"
67
",2017
"Big Sean Featuring Eminem","No Favors",2017-02-25,"
22
",2017
"Big Sean Featuring Jeremih","Light",2017-02-25,"
97
",2017
"Big Sean Featuring Migos","Sacrifices",2017-02-25,"
70
",2017
"Billie Eilish","8",2019-04-13,"
79
",2019
"Billie Eilish","All The Good Girls Go To Hell",2019-04-13,"
46
",2019
"Billie Eilish","Bad Guy",2019-04-13,"
7
",2019
"Billie Eilish","Bury A Friend",2019-02-09,"
14
",2019
"Billie Eilish","Come Out And Play",2018-12-08,"
69
",2018
"Billie Eilish","I Love You",2019-04-13,"
53
",2019
"Billie Eilish","idontwannabeyouanymore",2019-01-12,"
100
",2019
"Billie Eilish","Ilomilo",2019-04-13,"
62
",2019
"Billie Eilish","Listen Before I Go",2019-04-13,"
63
",2019
"Billie Eilish","My Strange Addiction",2019-04-13,"
43
",2019
"Billie Eilish","Ocean Eyes",2018-12-01,"
94
",2018
"Billie Eilish","When The Party's Over",2018-11-03,"
29
",2018
"Billie Eilish","Wish You Were Gay",2019-03-16,"
31
",2019
"Billie Eilish","Xanny",2019-04-13,"
35
",2019
"Billie Eilish","You Should See Me In A Crown",2018-08-04,"
41
",2018
"Billie Eilish & Khalid","Lovely",2018-06-09,"
64
",2018
"Billy Currington","Do I Make You Wanna",2017-07-01,"
 93
",2017
"Bing Crosby","White Christmas",2018-12-29,"
34
",2018
"Blac Youngsta","Booty",2018-03-10,"
73
",2018
"blackbear","Do Re Mi",2017-05-13,"
40
",2017
"BLACKPINK","DDU-DU DDU-DU",2018-06-30,"
55
",2018
"Blake Shelton","A Guy With A Girl",2017-01-07,"
100
",2017
"Blake Shelton","Every Time I Hear That Song",2017-05-27,"
56
",2017
"Blake Shelton","God's Country",2019-04-13,"
59
",2019
"Blake Shelton","I Lived It",2018-03-17,"
 80
",2018
"Blake Shelton","I'll Name The Dogs",2017-09-30,"
56
",2017
"BlocBoy JB Featuring Drake","Look Alive",2018-02-24,"
 9
",2018
"Blueface","Thotiana",2019-01-26,"
11
",2019
"Bobby Helms","Jingle Bell Rock",2017-01-07,"
13
",2017
"Brad Paisley","Today",2017-01-28,"
67
",2017
"Bradley Cooper","Maybe It's Time",2018-10-20,"
93
",2018
"Brantley Gilbert","The Weekend",2017-01-21,"
64
",2017
"Brenda Lee","Rockin' Around The Christmas Tree",2017-01-07,"
11
",2017
"Brett Eldredge","The Long Way",2018-02-17,"
65
",2018
"Brett Eldredge","Wanna Be That Song",2017-01-07,"
46
",2017
"Brett Young","Here Tonight",2019-01-12,"
51
",2019
"Brett Young","In Case You Didn't Know",2017-02-25,"
 80
",2017
"Brett Young","Like I Loved You",2017-10-14,"
46
",2017
"Brett Young","Mercy",2018-05-19,"
29
",2018
"Brett Young","Sleep Without You",2017-01-07,"
62
",2017
"Brothers Osborne","It Ain't My Fault",2017-07-01,"
100
",2017
"Bruno Mars","24K Magic",2017-01-07,"
10
",2017
"Bruno Mars","That's What I Like",2017-02-11,"
1
",2017
"Bruno Mars","Versace On The Floor",2017-01-07,"
100
",2017
"Bruno Mars & Cardi B","Finesse",2018-01-13,"
10
",2018
"Bryce Vine","Drew Barrymore",2018-08-25,"
46
",2018
"Bryson Tiller","Don't Get Too High",2017-06-17,"
89
",2017
"Bryson Tiller","No Longer Friends",2017-06-17,"
98
",2017
"Bryson Tiller","Run Me Dry",2017-06-17,"
91
",2017
"Bryson Tiller","Self-Made",2017-06-17,"
85
",2017
"Bryson Tiller","Somethin Tells Me",2017-06-17,"
74
",2017
"BTS","DNA",2017-10-07,"
67
",2017
"BTS","Fake Love",2018-06-02,"
10
",2018
"BTS Featuring Desiigner","MIC Drop",2017-12-16,"
28
",2017
"BTS Featuring Nicki Minaj","IDOL",2018-09-08,"
11
",2018
"Burl Ives","A Holly Jolly Christmas",2017-01-07,"
10
",2017
"Calboy","Envy Me",2018-12-29,"
36
",2018
"Calum Scott","Dancing On My Own",2017-02-11,"
93
",2017
"Calvin Harris & Dua Lipa","One Kiss",2018-04-21,"
26
",2018
"Calvin Harris & Sam Smith","Promises",2018-09-01,"
65
",2018
"Calvin Harris Featuring Frank Ocean & Migos","Slide",2017-03-18,"
25
",2017
"Calvin Harris Featuring Future & Khalid","Rollin",2017-06-03,"
62
",2017
"Calvin Harris Featuring Kehlani & Lil Yachty","Faking It",2017-12-09,"
100
",2017
"Calvin Harris Featuring Pharrell Williams, Katy Perry & Big Sean","Feels",2017-07-08,"
20
",2017
"Calvin Harris Featuring Young Thug, Pharrell Williams & Ariana Grande","Heatstroke",2017-04-22,"
96
",2017
"Camila Cabello","Consequences",2018-11-17,"
51
",2018
"Camila Cabello","Crying In The Club",2017-06-10,"
47
",2017
"Camila Cabello","Never Be The Same",2017-12-30,"
13
",2017
"Camila Cabello Featuring Quavo","OMG",2017-08-26,"
 81
",2017
"Camila Cabello Featuring Young Thug","Havana",2017-08-26,"
1
",2017
"Cardi B","Be Careful",2018-04-14,"
11
",2018
"Cardi B","Bickenhead",2018-04-21,"
43
",2018
"Cardi B","Bodak Yellow (Money Moves)",2017-07-22,"
1
",2017
"Cardi B","Get Up 10",2018-04-21,"
38
",2018
"Cardi B","Money",2018-11-03,"
13
",2018
"Cardi B","Money Bag",2018-04-21,"
58
",2018
"Cardi B","Thru Your Phone",2018-04-21,"
50
",2018
"Cardi B & Bruno Mars","Please Me",2019-03-02,"
14
",2019
"Cardi B & YG","She Bad",2018-04-21,"
57
",2018
"Cardi B Featuring 21 Savage","Bartier Cardi",2018-01-06,"
14
",2018
"Cardi B Featuring Chance The Rapper","Best Life",2018-04-21,"
100
",2018
"Cardi B Featuring Kehlani","Ring",2018-04-21,"
28
",2018
"Cardi B Featuring Migos","Drip",2018-04-21,"
21
",2018
"Cardi B Featuring SZA","I Do",2018-04-21,"
23
",2018
"Cardi B, Bad Bunny & J Balvin","I Like It",2018-04-21,"
 42
",2018
"Carly Pearce","Every Little Thing",2017-08-19,"
50
",2017
"Carrie Underwood","Cry Pretty",2018-04-28,"
 91
",2018
"Carrie Underwood","Dirty Laundry",2017-01-07,"
48
",2017
"Carrie Underwood","Love Wins",2019-01-12,"
100
",2019
"Carrie Underwood Featuring Ludacris","The Champion",2018-01-27,"
47
",2018
"Casper Magico, Nio Garcia, Darell, Nicky Jam, Ozuna & Bad Bunny","Te Bote",2018-05-05,"
36
",2018
"Chance The Rapper","I Might Need Security",2018-08-04,"
60
",2018
"Charlie Puth","Attention",2017-05-13,"
10
",2017
"Charlie Puth","How Long",2017-10-28,"
21
",2017
"Charlie Puth","The Way I Am",2018-09-08,"
61
",2018
"Charlie Puth Featuring Kehlani","Done For Me",2018-05-19,"
53
",2018
"Chase Rice","Eyes On You",2019-03-02,"
54
",2019
"Cheat Codes Featuring Demi Lovato","No Promises",2017-06-03,"
38
",2017
"Childish Gambino","Feels Like Summer",2018-09-15,"
54
",2018
"Childish Gambino","Redbone",2017-01-07,"
12
",2017
"Childish Gambino","Summertime Magic",2018-07-28,"
100
",2018
"Childish Gambino","This Is America",2018-05-19,"
1
",2018
"China Anne McClain, Thomas Doherty & Dylan Playfair","What's My Name",2017-08-12,"
61
",2017
"Chloe Kohanski","Total Eclipse Of The Heart",2017-12-16,"
99
",2017
"Chloe Kohanski","Wish I Didn't Love You",2018-01-03,"
69
",2018
"Chris Blue","Money On You",2017-06-10,"
66
",2017
"Chris Brown","Privacy",2017-05-20,"
62
",2017
"Chris Brown","Questions",2017-09-09,"
78
",2017
"Chris Brown","Tempo",2018-03-17,"
88
",2018
"Chris Brown","Undecided",2019-01-19,"
 65
",2019
"Chris Brown Featuring Future & Young Thug","High End",2017-11-04,"
100
",2017
"Chris Brown Featuring Usher & Gucci Mane","Party",2017-01-07,"
40
",2017
"Chris Brown Featuring Yo Gotti, A Boogie Wit da Hoodie & Kodak Black","Pills And Automobiles",2017-09-30,"
46
",2017
"Chris Janson","Drunk Girl",2018-09-08,"
79
",2018
"Chris Janson","Fix A Drink",2017-09-02,"
67
",2017
"Chris Lane","For Her",2017-08-19,"
92
",2017
"Chris Lane Featuring Tori Kelly","Take Back Home Girl",2018-04-14,"
100
",2018
"Chris Stapleton","Broken Halos",2017-05-06,"
45
",2017
"Chris Stapleton","Either Way",2017-05-27,"
89
",2017
"Chris Stapleton","Millionaire",2018-11-24,"
47
",2018
"Chris Stapleton","Parachute",2017-01-14,"
 90
",2017
"Chris Young","Hangin' On",2018-09-15,"
63
",2018
"Chris Young","Losing Sleep",2017-10-14,"
60
",2017
"Chris Young Featuring Vince Gill","Sober Saturday Night",2017-01-21,"
47
",2017
"Chuck Berry","Run Rudolph Run",2019-01-05,"
45
",2019
"Ciara","Level Up",2018-08-04,"
59
",2018
"City Girls","Act Up",2019-03-16,"
43
",2019
"City Girls Featuring Cardi B","Twerk",2018-12-01,"
29
",2018
"Clean Bandit Featuring Demi Lovato","Solo",2018-07-07,"
58
",2018
"Clean Bandit Featuring Julia Michaels","I Miss You",2018-01-20,"
92
",2018
"Clean Bandit Featuring Sean Paul & Anne-Marie","Rockabye",2017-01-07,"
10
",2017
"Cody Johnson","On My Way To You",2019-02-02,"
100
",2019
"Cole Swindell","Break Up In The End",2018-03-10,"
49
",2018
"Cole Swindell","Flatliner",2017-04-29,"
 56
",2017
"D.R.A.M. Featuring Lil Yachty","Broccoli",2017-01-07,"
10
",2017
"DaBaby","Suge",2019-04-13,"
87
",2019
"Daddy Yankee","Dura",2018-02-17,"
43
",2018
"Daddy Yankee","Shaky Shaky",2017-01-14,"
100
",2017
"Daddy Yankee Featuring Snow","Con Calma",2019-02-09,"
48
",2019
"Dan + Shay","How Not To",2017-04-22,"
100
",2017
"Dan + Shay","Speechless",2018-09-22,"
24
",2018
"Dan + Shay","Tequila",2018-01-27,"
21
",2018
"Daniel Caesar Featuring H.E.R.","Best Part",2018-08-04,"
75
",2018
"Daniel Caesar Featuring Kali Uchis","Get You",2018-03-03,"
 99
",2018
"Darius Rucker","For The First Time",2018-04-07,"
58
",2018
"Darius Rucker","If I Told You",2017-04-29,"
53
",2017
"Darlene Love","Christmas (Baby Please Come Home)",2018-12-29,"
43
",2018
"David Guetta Featuring Justin Bieber","2U",2017-07-01,"
16
",2017
"David Lee Murphy & Kenny Chesney","Everything's Gonna Be Alright",2018-05-05,"
66
",2018
"Dean Lewis","Be Alright",2018-11-10,"
23
",2018
"Dean Martin","Let It Snow, Let It Snow, Let It Snow",2018-12-15,"
20
",2018
"DeJ Loaf","No Fear",2017-09-23,"
100
",2017
"Demi Lovato","Sober",2018-07-07,"
47
",2018
"Demi Lovato","Sorry Not Sorry",2017-07-29,"
10
",2017
"Demi Lovato","Tell Me You Love Me",2017-09-16,"
53
",2017
"Dennis Lloyd","Nevermind",2018-08-04,"
 99
",2018
"Derez De'Shon","Hardaway",2018-02-17,"
100
",2018
"Descendants 2 Cast","It's Goin' Down",2017-08-12,"
77
",2017
"Devin Dawson","All On Me",2017-11-18,"
52
",2017
"Dierks Bentley","Black",2017-02-04,"
56
",2017
"Dierks Bentley","Woman, Amen",2018-04-14,"
53
",2018
"Dierks Bentley Featuring Brothers Osborne","Burning Man",2018-11-03,"
100
",2018
"Diplo, French Montana & Lil Pump Featuring Zhavia Ward","Welcome To The Party",2018-06-02,"
100
",2018
"DJ ESCO Featuring Future & Lil Uzi Vert","Too Much Sauce",2017-01-07,"
50
",2017
"DJ Khaled & Calvin Harris Featuring Travis Scott & Jeremih","Don't Quit",2017-07-15,"
68
",2017
"DJ Khaled Featuring Beyonce & JAY Z","Shining",2017-03-04,"
57
",2017
"DJ Khaled Featuring Drake","To The Max",2017-06-24,"
53
",2017
"DJ Khaled Featuring JAY Z, Future & B","Top Off",2018-03-17,"
22
",2018
"DJ Khaled Featuring Justin Bieber, Chance The Rapper & Quavo","No Brainer",2018-08-11,"
10
",2018
"DJ Khaled Featuring Justin Bieber, Quavo, Chance The Rapper & Lil Wayne","I'm The One",2017-05-20,"
1
",2017
"DJ Khaled Featuring Nicki Minaj, Chris Brown, August Alsina, Jeremih, Future & Rick Ross","Do You Mind",2017-01-07,"
57
",2017
"DJ Khaled Featuring Rihanna & Bryson Tiller","Wild Thoughts",2017-07-08,"
12
",2017
"DJ Khaled Featuring Travis Scott, Rick Ross & Big Sean","On Everything",2017-07-15,"
88
",2017
"DJ Luke Nasty","OTW",2017-01-07,"
71
",2017
"DJ Snake Featuring Justin Bieber","Let Me Love You",2017-01-07,"
14
",2017
"DJ Snake Featuring Selena Gomez, Ozuna & Cardi B","Taki Taki",2018-10-13,"
11
",2018
"DJ Suede The Remix God","Cash Me Outside (#CashMeOutside)",2017-03-04,"
72
",2017
"Drake","8 Out Of 10",2018-07-14,"
21
",2018
"Drake","Blem",2017-04-08,"
38
",2017
"Drake","Blue Tint",2018-07-14,"
30
",2018
"Drake","Can't Have Everything",2017-04-08,"
82
",2017
"Drake","Can't Take A Joke",2018-07-14,"
100
",2018
"Drake","Diplomatic Immunity",2018-02-03,"
55
",2018
"Drake","Do Not Disturb",2017-04-08,"
60
",2017
"Drake","Elevate",2018-07-14,"
14
",2018
"Drake","Emotionless",2018-07-14,"
38
",2018
"Drake","Fake Love",2017-01-07,"
10
",2017
"Drake","Final Fantasy",2018-07-14,"
56
",2018
"Drake","Finesse",2018-07-14,"
42
",2018
"Drake","Free Smoke",2017-04-08,"
18
",2017
"Drake","God's Plan",2018-02-03,"
1
",2018
"Drake","Gyalchester",2017-04-08,"
29
",2017
"Drake","I'm Upset",2018-06-09,"
15
",2018
"Drake","In My Feelings",2018-07-14,"
1
",2018
"Drake","Is There More",2018-07-14,"
100
",2018
"Drake","Jaded",2018-07-14,"
32
",2018
"Drake","Jorja Interlude",2017-04-08,"
49
",2017
"Drake","Lose You",2017-04-08,"
64
",2017
"Drake","Madiba Riddim",2017-04-08,"
51
",2017
"Drake","March 14",2018-07-14,"
57
",2018
"Drake","Mob Ties",2018-07-14,"
13
",2018
"Drake","Nice For What",2018-04-21,"
 1
",2018
"Drake","Nonstop",2018-07-14,"
 29
",2018
"Drake","Nothings Into Somethings",2017-04-08,"
61
",2017
"Drake","Passionfruit",2017-04-08,"
10
",2017
"Drake","Peak",2018-07-14,"
38
",2018
"Drake","Ratchet Happy Birthday",2018-07-14,"
51
",2018
"Drake","Sandra's Rose",2018-07-14,"
27
",2018
"Drake","Signs",2017-07-15,"
100
",2017
"Drake","Skepta Interlude",2017-04-08,"
76
",2017
"Drake","Summer Games",2018-07-14,"
28
",2018
"Drake","Survival",2018-07-14,"
17
",2018
"Drake","Teenage Fever",2017-04-08,"
35
",2017
"Drake","That's How You Feel",2018-07-14,"
37
",2018
"Drake Featuring 2 Chainz & Young Thug","Sacrifices",2017-04-08,"
36
",2017
"Drake Featuring 21 Savage","Sneakin'",2017-01-07,"
63
",2017
"Drake Featuring Giggs","KMT",2017-04-08,"
48
",2017
"Drake Featuring Giggs","No Long Talk",2017-04-08,"
40
",2017
"Drake Featuring JAY-Z","Talk Up",2018-07-14,"
100
",2018
"Drake Featuring Jorja Smith & Black Coffee","Get It Together",2017-04-08,"
45
",2017
"Drake Featuring Kanye West","Glow",2017-04-08,"
54
",2017
"Drake Featuring Michael Jackson","Don't Matter To Me",2018-07-14,"
21
",2018
"Drake Featuring PARTYNEXTDOOR","Since Way Back",2017-04-08,"
70
",2017
"Drake Featuring Quavo & Travis Scott","Portland",2017-04-08,"
21
",2017
"Drake Featuring Sampha","4422",2017-04-08,"
50
",2017
"Drake Featuring Static Major & Ty Dolla $ign","After Dark",2018-07-14,"
41
",2018
"Drake Featuring Young Thug","Ice Melts",2017-04-08,"
62
",2017
"Dua Lipa","IDGAF",2018-01-27,"
49
",2018
"Dua Lipa","New Rules",2017-08-19,"
11
",2017
"Dua Lipa & BLACKPINK","Kiss And Make Up",2018-11-03,"
93
",2018
"Dustin Lynch","Good Girl",2018-11-24,"
44
",2018
"Dustin Lynch","Seein' Red",2017-01-14,"
55
",2017
"Dustin Lynch","Small Town Boy",2017-06-24,"
 75
",2017
"Dwayne Johnson","You're Welcome",2017-01-07,"
100
",2017
"Dylan Scott","Hooked",2018-07-28,"
48
",2018
"Dylan Scott","My Girl",2017-05-13,"
39
",2017
"Easton Corbin","A Girl Like You",2018-02-17,"
98
",2018
"Ed Sheeran","Barcelona",2017-03-25,"
96
",2017
"Ed Sheeran","Castle On The Hill",2017-01-28,"
21
",2017
"Ed Sheeran","Dive",2017-03-25,"
49
",2017
"Ed Sheeran","Eraser",2017-03-25,"
90
",2017
"Ed Sheeran","Galway Girl",2017-03-25,"
53
",2017
"Ed Sheeran","Happier",2017-03-25,"
59
",2017
"Ed Sheeran","Hearts Don't Break Around Here",2017-03-25,"
93
 ",2017
"Ed Sheeran","How Would You Feel (Paean)",2017-03-11,"
41
",2017
"Ed Sheeran","New Man",2017-03-25,"
72
",2017
"Ed Sheeran","Perfect",2017-03-25,"
1
",2017
"Ed Sheeran","Shape Of You",2017-01-28,"
1
",2017
"Ed Sheeran","Supermarket Flowers",2017-03-25,"
75
",2017
"Ed Sheeran","What Do I Know?",2017-03-25,"
83
",2017
"Ella Mai","Boo'd Up",2018-04-14,"
10
",2018
"Ella Mai","Shot Clock",2019-02-09,"
62
",2019
"Ella Mai","Trip",2018-08-18,"
11
",2018
"Ellie Goulding X Diplo Featuring Swae Lee","Close To Me",2018-12-01,"
100
",2018
"Elvis Presley","Blue Christmas",2019-01-05,"
40
",2019
"Eminem","Believe",2018-01-03,"
92
",2018
"Eminem","Fall",2018-09-15,"
12
",2018
"Eminem","Greatest",2018-09-15,"
23
",2018
"Eminem","Kamikaze",2018-09-15,"
16
",2018
"Eminem","Killshot",2018-09-29,"
3
",2018
"Eminem","Normal",2018-09-15,"
39
",2018
"Eminem","Stepping Stone",2018-09-15,"
42
",2018
"Eminem","The Ringer",2018-09-15,"
39
",2018
"Eminem","Untouchable",2017-12-30,"
86
",2017
"Eminem","Venom",2018-09-15,"
43
",2018
"Eminem & Jessie Reyez","Nice Guy",2018-09-15,"
65
",2018
"Eminem Featuring Beyonce","Walk On Water",2017-12-02,"
14
",2017
"Eminem Featuring Ed Sheeran","River",2018-01-03,"
11
",2018
"Eminem Featuring Jessie Reyez","Good Guy",2018-09-15,"
67
",2018
"Eminem Featuring Joyner Lucas","Lucky You",2018-09-15,"
100
",2018
"Eminem Featuring Royce Da 5'9","Not Alike",2018-09-15,"
24
",2018
"Enrique Iglesias Featuring Bad Bunny","El Bano",2018-01-27,"
98
",2018
"Enrique Iglesias Featuring Descemer Bueno, Zion & Lennox Or Sean Paul","Subeme La Radio",2017-04-22,"
 92
",2017
